label,message
ham,"I lost my phone, this is my new temporary number +91-Amit, save it."
spam,"Dear SBI user, your YONO account has been blocked due to unverified PAN card. Please update immediately: http://bit.ly/sbi-yono-update9577559142 or call +91-128."
spam,"Dear consumer, your electricity power will be disconnected tonight at 9:30 PM because your previous month bill was not updated. Please call our electricity officer at +91-7069909886 immediately."
ham,Can you pay Rs. Ananya for the pizza? I will give you cash tonight.
ham,Are you free tonight? Let's go to that cafe.
ham,Sent you Rs. Kavita on PhonePe for yesterday's dinner bill.
spam,FINAL WARNING: Your email account will be permanently deactivated within 24 hours. Click to reactivate: https://mail-security-desk828.net/verify
spam,FINAL WARNING: Your email account will be permanently deactivated within 24 hours. Click to reactivate: https://mail-security-desk994.net/verify
spam,FINAL WARNING: Your email account will be permanently deactivated within 24 hours. Click to reactivate: https://mail-security-desk661.net/verify
ham,"Hi Aditya, could you review the pull request for the authentication module when you have a moment?"
spam,"Dear customer, your loan of Rs. 3,50,000 is approved at 2% interest rate. No CIBIL score required. Call loan officer at +91-7086160139 to disburse funds."
ham,"Good morning, here is the updated presentation deck for our team demonstration."
spam,"Dear customer, your loan of Rs. 3,50,000 is approved at 2% interest rate. No CIBIL score required. Call loan officer at +91-9231064204 to disburse funds."
ham,Reminder: Your doctor appointment is scheduled for tomorrow at 12382 PM at City Clinic.
ham,Check this GitHub repository for the code implementation: https://github.com/team-dev/repoKavita
spam,Exclusive Offer: 90% discount on luxury watches and electronics. Limited stock available: http://discount-store865.xyz/shop
spam,Your parcel delivery has failed due to missing street address. Update your address within 12 hours: http://courier-address-fix7980770208.top or call driver +91-586.
ham,Please find attached the project status report for QSoham review. Let me know your thoughts.
ham,Your cab driver 8981 (+91 97200969) has arrived at your pickup location. PIN is 6152.
spam,Security Alert! Unauthorized login attempt detected from IP 134. Confirm your password here: http://1906172/account/update
ham,Your package with tracking #12133 will be delivered today by courier. Contact delivery associate at +91 98839364 to coordinate.
ham,Reminder: Your doctor appointment is scheduled for tomorrow at 8498 PM at City Clinic.
spam,Your parcel delivery has failed due to missing street address. Update your address within 12 hours: http://courier-address-fix8156731916.top or call driver +91-412.
ham,Bhai where are you? Waiting outside the metro station.
spam,"Dear consumer, your electricity power will be disconnected tonight at 9:30 PM because your previous month bill was not updated. Please call our electricity officer at +91-9907310457 immediately."
ham,Your order from Zomato is on its way. Delivery partner is moving towards your location.
ham,"Bro, did you complete the homework for tomorrow's class?"
ham,"Hey bro, call me urgently at +91-Soham when you are free, need your help."
spam,Crypto Alert: Deposit 0.1 BTC and receive 1.0 BTC within 24 hours guaranteed! Join: http://crypto-doubler900.top/invest
ham,Can you share Soham's contact number with me?
ham,"Dear Priya, your monthly bank statement for account ending in 5 is ready for viewing in your portal."
ham,Your OTP for online transaction of Rs. 11029 at Amazon is 886687. Valid for 10 mins. Do not share OTP with anyone. - HDFC Bank
ham,Check this GitHub repository for the code implementation: https://github.com/team-dev/repoSneha
spam,You have 1 new unread secure message from Payroll Department. Access document: https://payroll-update519.com/login.php
spam,You have 1 new unread secure message from Payroll Department. Access document: https://payroll-update611.com/login.php
spam,FINAL WARNING: Your email account will be permanently deactivated within 24 hours. Click to reactivate: https://mail-security-desk104.net/verify
spam,"Congratulations! Your mobile number has won Rs. 25,00,000 in KBC All India Lucky Draw. Call executive at +91-9104901836 to claim your prize cheque."
ham,"Hey Rohan, can you send me Rs. 9663124437 on GPay? Will return it tomorrow."
spam,"Credit card limit increased to Rs. 5,00,000 without income proof! Claim your pre-approved card now: http://card-upgrade7945102494.xyz or WhatsApp +91-518."
ham,Your OTP for online transaction of Rs. 3226 at Amazon is 516016. Valid for 10 mins. Do not share OTP with anyone. - HDFC Bank
spam,Earn $5000 weekly working from home with no experience needed! Sign up today: http://quick-cash-scheme452.biz/register
spam,"Dear consumer, your electricity power will be disconnected tonight at 9:30 PM because your previous month bill was not updated. Please call our electricity officer at +91-9486244283 immediately."
ham,Are you awake? Give me a quick ring when you see this.
spam,Your parcel delivery has failed due to missing street address. Update your address within 12 hours: http://courier-address-fix7651245759.top or call driver +91-276.
ham,"Hey dad, reached the station safely, booking cab now."
spam,"Dear Customer, you received a tax refund of Rs. 85. Submit your bank credentials to deposit: https://incometax-refund-portal7493318.org/claim"
spam,Your parcel delivery has failed due to missing street address. Update your address within 12 hours: http://courier-address-fix9993150097.top or call driver +91-900.
ham,Thank you for your order #Rohan. Your package has been dispatched and will arrive by 1.
spam,Congratulations! You have won Rs. 512 in the international lottery. Claim your reward now: http://claim-prize4924516.xyz/bonus
ham,"Hey dad, reached the station safely, booking cab now."
spam,Exclusive Offer: 90% discount on luxury watches and electronics. Limited stock available: http://discount-store109.xyz/shop
ham,Thank you for your order #Soham. Your package has been dispatched and will arrive by 1.
spam,"Dear SBI user, your YONO account has been blocked due to unverified PAN card. Please update immediately: http://bit.ly/sbi-yono-update9569344280 or call +91-969."
spam,"Credit card limit increased to Rs. 5,00,000 without income proof! Claim your pre-approved card now: http://card-upgrade9241007203.xyz or WhatsApp +91-785."
ham,Can you send the lecture notes from yesterday?
ham,Thanks for your help with the bug in the code earlier.
ham,"Hey team, the sprint planning session is confirmed for Tanvi at 10:00 AM."
spam,Security Alert! Unauthorized login attempt detected from IP 78. Confirm your password here: http://4783548/account/update
spam,FINAL WARNING: Your email account will be permanently deactivated within 24 hours. Click to reactivate: https://mail-security-desk681.net/verify
ham,Your package with tracking #13903 will be delivered today by courier. Contact delivery associate at +91 98422337 to coordinate.
spam,You have 1 new unread secure message from Payroll Department. Access document: https://payroll-update975.com/login.php
ham,"Mom said dinner is ready, come home soon."
spam,"Dear Customer, you received a tax refund of Rs. 720. Submit your bank credentials to deposit: https://incometax-refund-portal4939518.org/claim"
ham,Can you pay Rs. Tanvi for the pizza? I will give you cash tonight.
ham,"Hi all, please note the office will remain closed on Monday on account of public holiday."
spam,URGENT: Your SIM card KYC is incomplete. Your outgoing calls will be stopped in 24 hrs. Call customer care helpline at 1800-8750953595 or +91-610 immediately.
ham,Read this article when free: https://wikipedia.org/wiki/TopicKavita
ham,Here are the notes and action items from yesterday's discussion with the client.
ham,Can you send the lecture notes from yesterday?
spam,Your parcel delivery has failed due to missing street address. Update your address within 12 hours: http://courier-address-fix8516423420.top or call driver +91-517.
spam,"Dear customer, your loan of Rs. 3,50,000 is approved at 2% interest rate. No CIBIL score required. Call loan officer at +91-8911975654 to disburse funds."
spam,URGENT: Your SIM card KYC is incomplete. Your outgoing calls will be stopped in 24 hrs. Call customer care helpline at 1800-7595248887 or +91-879 immediately.
ham,"Bhai, call me at +91-Soham as soon as possible."
ham,"Hey Rahul, can you send me Rs. 7477979376 on GPay? Will return it tomorrow."
spam,"Dear SBI user, your YONO account has been blocked due to unverified PAN card. Please update immediately: http://bit.ly/sbi-yono-update7865942819 or call +91-770."
spam,FINAL WARNING: Your email account will be permanently deactivated within 24 hours. Click to reactivate: https://mail-security-desk469.net/verify
ham,"Hi Sameer, can we reschedule our meeting to tomorrow at 7 PM? Thanks."
ham,Your OTP for online transaction of Rs. 13008 at Amazon is 301153. Valid for 10 mins. Do not share OTP with anyone. - HDFC Bank
spam,"Dear consumer, your electricity power will be disconnected tonight at 9:30 PM because your previous month bill was not updated. Please call our electricity officer at +91-9237461661 immediately."
spam,"Dear customer, your loan of Rs. 3,50,000 is approved at 2% interest rate. No CIBIL score required. Call loan officer at +91-8779440089 to disburse funds."
ham,"Hi all, please note the office will remain closed on Monday on account of public holiday."
spam,"Congratulations! Your mobile number has won Rs. 25,00,000 in KBC All India Lucky Draw. Call executive at +91-9584278145 to claim your prize cheque."
ham,"Dear Customer, your A/C ending 12909 is credited with Rs. 310855 on 7133. Avail Bal: Rs. 27196. - SBI"
ham,"Dear customer, cash withdrawal of Rs. 2430 from ATM at 287966 was successful. - ICICI Bank"
spam,Exclusive Offer: 90% discount on luxury watches and electronics. Limited stock available: http://discount-store435.xyz/shop
spam,Part-time job offer: Earn Rs. 2000 to Rs. 6000 daily from home by simply liking YouTube videos! Contact on WhatsApp +1 (555) 349-9939333153 now.
spam,"Dear consumer, your electricity power will be disconnected tonight at 9:30 PM because your previous month bill was not updated. Please call our electricity officer at +91-7610138908 immediately."
ham,"Hey Tanvi, I have reached the restaurant. Let me know when you arrive."
